danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,name,artist,genre
0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,61Q9oJNd9hJQFhSDh6Qlap,269720,3,House Of The Rising Sun,The Animals,Rock
0.483,0.721,0,-6.836,1,0.032,0.729,0.0,0.189,0.562,95.261,3AhXZa8sUQht0UEdBJgpGc,369600,4,Like a Rolling Stone,Bob Dylan,Rock
0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,2K2M0TcglCRLLpFOzKeFZA,250400,4,Sunshine Of Your Love,Cream,Rock
0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,4CJVkjo5WpmUAKp3R44LNb,281147,4,Sweet Home Alabama,Lynyrd Skynyrd,Rock
0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4BP3uh0hFLFRb5cjsgLqDh,140773,4,Fortunate Son,Creedence Clearwater Revival,Rock
0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,4gMgiXfqyzZLMhsksGmbQV,238747,4,"Another Brick in the Wall, Pt. 2",Pink Floyd,Rock
0.546,0.529,9,-13.6,1,0.0436,0.0629,0.000567,0.0383,0.574,151.727,2X6gdRlGOQgfaXU9ALUQFQ,271000,4,The Chain,Fleetwood Mac,Rock
0.453,0.464,2,-10.96,1,0.0431,0.302,5.96e-05,0.152,0.658,93.19,1IqFh00G2kvvMm8pRMpehA,271333,4,Me and Bobby McGee,Janis Joplin,Rock
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,40riOy7x9W7GXjyGp4pjAv,391376,4,Hotel California - 2013 Remaster,Eagles,Rock
0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,371VkfwKiXJxgH5ZPoQNHD,264504,4,The Joker,Steve Miller Band,Rock
0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,63OFKbMaZSDZ4wtesuuq6f,210373,4,Born To Be Wild,Steppenwolf,Rock
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,1qRA5BS78u3gME0loMl9AA,153693,4,For What It's Worth,Buffalo Springfield,Rock
0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,32kgOw8wejH7zUhtXCM8DH,285133,4,More Than a Feeling,Boston,Rock
0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,6cr6UDpkjEaMQ80OjWqEBQ,350400,4,Sultans of Swing,Dire Straits,Rock
0.504,0.578,4,-9.302,1,0.031,0.408,0.0,0.321,0.654,132.411,4uGIJG1jYFonGc4LGp5uQL,174840,4,Somebody to Love,Jefferson Airplane,Rock
0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,5p3JunprHCxClJjOmcLV8G,254173,4,Walk On the Wild Side,Lou Reed,Rock
0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,6KTv0Z8BmVqM7DPxbGzpVC,168840,4,Rock And Roll All Nite,KISS,Rock
0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,3QZ7uX97s82HFYSmQUAN1D,276880,4,Tom Sawyer,Rush,Rock
0.663,0.712,2,-7.268,1,0.0479,0.524,0.0,0.0804,0.527,113.439,2aSFLiDPreOVP6KHiWk4lF,236520,4,Under Pressure - Remastered,Queen,Rock
0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,51H2y6YrNNXcy3dfc3qSbA,352906,4,When Doves Cry,Prince,Rock
0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,2sXp9Qmvc7mRaDBjBgcGGi,253887,4,Every Breath You Take - Remastered 2003,The Police,Rock
0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000211,0.297,0.382,141.47,5QTxFnGygVM4jFQiBovmRo,308120,4,(Don't Fear) The Reaper,Blue Öyster Cult,Rock
0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,54eZmuggBFJbV7k248bTTt,252240,4,A Horse with No Name,America,Rock
